area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020,6,,370
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3,1,103
Super built-up  Area,18-Nov,Thanisandra,1 RK,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2,1,47
